Date,Dhaka - 8486 - Sahri,Dhaka - 8486 - Iftar,Naraynganj - 8547 - Sahri,Naraynganj - 8547 - Iftar,Kishorganj - 8516 - Sahri,Kishorganj - 8516 - Iftar,Gazipur - 8496 - Sahri,Gazipur - 8496 - Iftar,Gopalganj - 8497 - Sahri,Gopalganj - 8497 - Iftar,Tangail - 8599 - Sahri,Tangail - 8599 - Iftar,Narsingdi - 8548 - Sahri,Narsingdi - 8548 - Iftar,Faridpur - 8490 - Sahri,Faridpur - 8490 - Iftar,Madaripur - 8527 - Sahri,Madaripur - 8527 - Iftar,Manikganj - 8531 - Sahri,Manikganj - 8531 - Iftar,Munsiganj - 8540 - Sahri,Munsiganj - 8540 - Iftar,Rajbari - 8573 - Sahri,Rajbari - 8573 - Iftar,Shariyatpur - 8589 - Sahri,Shariyatpur - 8589 - Iftar,Sylhet - 8596 - Sahri,Sylhet - 8596 - Iftar,Moulovibazar - 8533 - Sahri,Moulovibazar - 8533 - Iftar,Hobigonj - 8498 - Sahri,Hobigonj - 8498 - Iftar,Sunamganj - 8595 - Sahri,Sunamganj - 8595 - Iftar,Sirajganj - 8593 - Sahri,Sirajganj - 8593 - Iftar,Rajshahi - 8574 - Sahri,Rajshahi - 8574 - Iftar,Bogura - 8469 - Sahri,Bogura - 8469 - Iftar,Pabna - 8558 - Sahri,Pabna - 8558 - Iftar,Natore - 8549 - Sahri,Natore - 8549 - Iftar,Naogaon - 8545 - Sahri,Naogaon - 8545 - Iftar,Joypurhat - 8509 - Sahri,Joypurhat - 8509 - Iftar,Chapainobangonj - 8475 - Sahri,Chapainobangonj - 8475 - Iftar,Lalmonirhat - 8524 - Sahri,Lalmonirhat - 8524 - Iftar,Rangpur - 8577 - Sahri,Rangpur - 8577 - Iftar,Panchgarh - 8560 - Sahri,Panchgarh - 8560 - Iftar,Nilphamari - 8552 - Sahri,Nilphamari - 8552 - Iftar,Dinajpur - 8487 - Sahri,Dinajpur - 8487 - Iftar,Thakurgaon - 8601 - Sahri,Thakurgaon - 8601 - Iftar,Gaibandha - 8494 - Sahri,Gaibandha - 8494 - Iftar,Kurigram - 8517 - Sahri,Kurigram - 8517 - Iftar,Sherpur - 8590 - Sahri,Sherpur - 8590 - Iftar,Mymensing - 8541 - Sahri,Mymensing - 8541 - Iftar,Netrokona - 8551 - Sahri,Netrokona - 8551 - Iftar,Jamalpur - 8502 - Sahri,Jamalpur - 8502 - Iftar,Bhola - 8465 - Sahri,Bhola - 8465 - Iftar,Barishal - 8460 - Sahri,Barishal - 8460 - Iftar,Borguna - 8459 - Sahri,Borguna - 8459 - Iftar,Pirojpur - 8567 - Sahri,Pirojpur - 8567 - Iftar,Potuakhali - 8565 - Sahri,Potuakhali - 8565 - Iftar,Jhalokathi - 8505 - Sahri,Jhalokathi - 8505 - Iftar,Lokkhipur - 8521 - Sahri,Lokkhipur - 8521 - Iftar,Rangamati - 8576 - Sahri,Rangamati - 8576 - Iftar,Brahmanbaria - 8470 - Sahri,Brahmanbaria - 8470 - Iftar,Bandarban - 8457 - Sahri,Bandarban - 8457 - Iftar,Feni - 8492 - Sahri,Feni - 8492 - Iftar,Noakhali - 8553 - Sahri,Noakhali - 8553 - Iftar,Chandpur - 8474 - Sahri,Chandpur - 8474 - Iftar,Chottogram - 8481 - Sahri,Chottogram - 8481 - Iftar,Khagrachori - 8512 - Sahri,Khagrachori - 8512 - Iftar,Comilla - 8483 - Sahri,Comilla - 8483 - Iftar,Cox’s bazar - 8485 - Sahri,Cox’s bazar - 8485 - Iftar,Satkhira - 8587 - Sahri,Satkhira - 8587 - Iftar,Jessore - 8504 - Sahri,Jessore - 8504 - Iftar,Meherpur - 8536 - Sahri,Meherpur - 8536 - Iftar,Magura - 8528 - Sahri,Magura - 8528 - Iftar,Bagerhat - 8456 - Sahri,Bagerhat - 8456 - Iftar,Norail - 8545 - Sahri,Norail - 8545 - Iftar,Jhinaidah - 8506 - Sahri,Jhinaidah - 8506 - Iftar,Chuadanga - 8482 - Sahri,Chuadanga - 8482 - Iftar,Khulna - 8514 - Sahri,Khulna - 8514 - Iftar,Kushthia - 8518 - Sahri,Kushthia - 8518 - Iftar
01-03,5:05,6:03,5:04,6:01,5:02,6:00,5:04,6:02,5:06,6:05,5:05,6:04,5:03,6:01,5:06,6:05,5:05,6:04,5:06,6:04,5:04,6:02,5:07,6:06,5:04,6:02,4:57,5:56,4:57,5:56,5:00,5:58,5:00,5:59,5:07,6:06,5:11,6:09,5:08,6:07,5:08,6:07,5:09,6:07,5:10,6:09,5:09,6:07,5:13,6:10,5:08,6:06,5:08,6:06,5:11,6:08,5:10,6:07,5:09,6:08,5:12,6:09,5:08,6:05,5:07,6:04,5:05,6:03,5:03,6:02,5:02,6:00,5:06,6:04,5:02,6:02,5:04,6:03,5:05,6:04,5:06,6:04,5:04,6:04,5:05,6:04,5:02,6:01,4:56,5:56,5:01,6:00,4:56,5:56,5:00,5:59,5:01,6:00,5:02,6:01,4:58,5:58,4:58,5:57,5:01,6:01,4:57,5:57,5:09,6:08,5:08,6:08,5:11,6:09,5:08,6:06,5:07,6:06,5:07,6:06,5:09,6:09,5:10,6:09,5:08,6:07,5:09,6:08
02-03,5:04,6:03,5:03,6:02,5:01,6:01,5:03,6:03,5:05,6:05,5:05,6:04,5:02,6:01,5:05,6:06,5:04,6:04,5:05,6:05,5:03,6:03,5:06,6:06,5:03,6:03,4:56,5:56,4:57,5:57,4:59,5:59,4:59,5:59,5:06,6:06,5:10,6:10,5:07,6:07,5:07,6:07,5:08,6:08,5:09,6:09,5:09,6:07,5:12,6:11,5:07,6:06,5:08,6:07,5:11,6:09,5:09,6:07,5:09,6:09,5:11,6:10,5:07,6:06,5:06,6:05,5:05,6:03,5:02,6:03,5:01,6:01,5:05,6:04,5:02,6:02,5:03,6:04,5:04,6:05,5:05,6:05,5:03,6:04,5:04,6:04,5:02,6:01,4:55,5:56,5:00,6:01,4:55,5:56,4:59,5:59,5:00,6:00,5:02,6:02,4:57,5:59,4:57,5:57,5:00,6:01,4:56,5:57,5:08,6:08,5:07,6:09,5:10,6:09,5:07,6:07,5:06,6:06,5:06,6:06,5:08,6:09,5:10,6:09,5:07,6:07,5:08,6:09
03-03,5:03,6:04,5:02,6:02,5:00,6:01,5:02,6:03,5:04,6:06,5:04,6:05,5:01,6:02,5:04,6:06,5:03,6:05,5:04,6:05,5:02,6:03,5:05,6:07,5:02,6:03,4:55,5:57,4:56,5:57,4:58,5:59,4:58,6:00,5:06,6:07,5:09,6:10,5:06,6:08,5:06,6:08,5:07,6:08,5:08,6:10,5:08,6:08,5:11,6:11,5:06,6:07,5:07,6:07,5:10,6:09,5:08,6:08,5:08,6:09,5:10,6:10,5:06,6:06,5:05,6:05,5:04,6:04,5:02,6:03,5:00,6:01,5:04,6:05,5:01,6:03,5:02,6:04,5:03,6:05,5:04,6:05,5:02,6:05,5:03,6:05,5:01,6:02,4:54,5:57,5:00,6:01,4:54,5:57,4:59,5:59,4:59,6:01,5:01,6:02,4:56,5:59,4:56,5:58,4:59,6:02,4:55,5:58,5:07,6:09,5:07,6:09,5:09,6:10,5:06,6:07,5:05,6:06,5:06,6:07,5:07,6:09,5:09,6:10,5:06,6:08,5:07,6:09
04-03,5:02,6:04,5:01,6:03,4:59,6:02,5:01,6:04,5:03,6:06,5:03,6:05,5:00,6:02,5:03,6:07,5:03,6:05,5:03,6:06,5:01,6:04,5:05,6:07,5:02,6:04,4:54,5:57,4:55,5:58,4:57,6:00,4:57,6:00,5:05,6:07,5:08,6:11,5:05,6:08,5:05,6:08,5:07,6:09,5:07,6:10,5:07,6:08,5:10,6:12,5:06,6:07,5:06,6:08,5:09,6:10,5:07,6:08,5:07,6:10,5:09,6:11,5:05,6:07,5:04,6:06,5:03,6:04,5:01,6:04,4:59,6:02,5:03,6:05,5:00,6:03,5:01,6:05,5:03,6:06,5:03,6:06,5:01,6:05,5:03,6:05,5:00,6:02,4:54,5:57,4:59,6:02,4:53,5:57,4:58,6:00,4:58,6:01,5:00,6:03,4:55,5:59,4:55,5:58,4:59,6:02,4:55,5:58,5:07,6:09,5:06,6:09,5:08,6:10,5:05,6:08,5:04,6:07,5:05,6:07,5:07,6:10,5:08,6:10,5:05,6:08,5:07,6:09
05-03,5:01,6:05,5:00,6:03,4:58,6:02,5:00,6:04,5:03,6:07,5:02,6:06,4:59,6:03,5:02,6:07,5:02,6:05,5:02,6:06,5:00,6:04,5:04,6:08,5:01,6:04,4:53,5:58,4:54,5:58,4:56,6:00,4:56,6:01,5:04,6:08,5:07,6:11,5:04,6:09,5:04,6:09,5:06,6:09,5:06,6:11,5:06,6:09,5:09,6:12,5:05,6:08,5:05,6:08,5:08,6:10,5:06,6:09,5:06,6:10,5:08,6:12,5:04,6:08,5:03,6:06,5:02,6:05,5:00,6:04,4:58,6:02,5:02,6:06,4:59,6:04,5:00,6:05,5:02,6:06,5:02,6:06,5:01,6:05,5:02,6:05,4:59,6:03,4:53,5:58,4:58,6:02,4:53,5:58,4:57,6:00,4:58,6:02,4:59,6:03,4:54,6:00,4:54,5:58,4:58,6:02,4:54,5:59,5:06,6:10,5:05,6:10,5:08,6:11,5:05,6:08,5:03,6:07,5:04,6:08,5:06,6:10,5:07,6:10,5:04,6:08,5:06,6:10
06-03,5:00,6:05,4:59,6:04,4:57,6:03,4:59,6:05,5:02,6:07,5:01,6:06,4:58,6:03,5:01,6:08,5:01,6:06,5:01,6:07,4:59,6:05,5:03,6:08,5:00,6:05,4:52,5:58,4:53,5:59,4:55,6:01,4:55,6:01,5:03,6:08,5:06,6:12,5:03,6:09,5:03,6:09,5:05,6:10,5:06,6:11,5:05,6:09,5:08,6:13,5:04,6:09,5:04,6:09,5:07,6:11,5:05,6:09,5:05,6:11,5:07,6:12,5:03,6:08,5:02,6:07,5:01,6:05,4:59,6:05,4:57,6:03,5:01,6:06,4:58,6:04,4:59,6:06,5:01,6:07,5:02,6:06,5:00,6:06,5:01,6:06,4:58,6:03,4:52,5:58,4:57,6:02,4:52,5:58,4:56,6:01,4:57,6:02,4:58,6:04,4:54,6:00,4:54,5:59,4:57,6:03,4:53,5:59,5:05,6:10,5:04,6:10,5:07,6:11,5:04,6:09,5:03,6:08,5:03,6:08,5:05,6:11,5:06,6:11,5:03,6:09,5:05,6:10
07-03,4:59,6:06,4:58,6:04,4:56,6:03,4:58,6:05,5:01,6:07,5:00,6:07,4:57,6:04,5:00,6:08,5:00,6:06,5:00,6:07,4:59,6:05,5:02,6:09,4:59,6:05,4:51,5:59,4:52,5:59,4:55,6:01,4:54,6:02,5:02,6:09,5:05,6:12,5:02,6:10,5:02,6:10,5:04,6:10,5:05,6:12,5:04,6:10,5:07,6:13,5:03,6:09,5:03,6:09,5:06,6:12,5:04,6:10,5:04,6:11,5:06,6:13,5:02,6:09,5:01,6:07,5:00,6:06,4:58,6:05,4:56,6:03,5:00,6:07,4:57,6:04,4:59,6:06,5:00,6:07,5:01,6:07,4:59,6:06,5:00,6:06,4:57,6:04,4:51,5:59,4:56,6:03,4:51,5:58,4:55,6:01,4:56,6:03,4:57,6:04,4:53,6:01,4:53,5:59,4:56,6:03,4:52,5:59,5:04,6:11,5:03,6:11,5:06,6:12,5:03,6:09,5:02,6:08,5:02,6:09,5:04,6:11,5:05,6:11,5:02,6:09,5:04,6:11
08-03,4:58,6:06,4:57,6:05,4:55,6:04,4:58,6:06,5:00,6:08,4:59,6:07,4:56,6:04,5:00,6:08,4:59,6:07,4:59,6:07,4:58,6:06,5:01,6:09,4:58,6:06,4:50,5:59,4:51,6:00,4:54,6:01,4:53,6:02,5:01,6:09,5:04,6:13,5:01,6:10,5:01,6:10,5:03,6:11,5:04,6:12,5:03,6:10,5:06,6:14,5:02,6:10,5:02,6:10,5:05,6:12,5:03,6:10,5:03,6:12,5:05,6:13,5:01,6:09,5:00,6:08,4:59,6:06,4:57,6:06,4:55,6:04,4:59,6:07,4:57,6:05,4:58,6:07,4:59,6:07,5:00,6:07,4:58,6:07,4:59,6:07,4:57,6:04,4:50,5:59,4:55,6:03,4:50,5:59,4:54,6:02,4:55,6:03,4:56,6:04,4:52,6:01,4:52,6:00,4:55,6:04,4:51,6:00,5:03,6:11,5:02,6:11,5:05,6:12,5:02,6:09,5:01,6:09,5:01,6:09,5:03,6:12,5:04,6:12,5:02,6:10,5:03,6:11
09-03,4:57,6:07,4:57,6:05,4:54,6:04,4:57,6:06,4:59,6:08,4:58,6:08,4:56,6:04,4:59,6:09,4:58,6:07,4:58,6:08,4:57,6:06,5:00,6:09,4:57,6:06,4:49,6:00,4:50,6:00,4:53,6:02,4:52,6:03,5:00,6:09,5:03,6:13,5:00,6:11,5:01,6:11,5:02,6:11,5:03,6:13,5:02,6:11,5:05,6:14,5:01,6:10,5:01,6:10,5:04,6:13,5:02,6:11,5:02,6:12,5:04,6:14,5:00,6:09,4:59,6:08,4:58,6:07,4:56,6:06,4:54,6:04,4:58,6:08,4:56,6:05,4:57,6:07,4:58,6:08,4:59,6:08,4:57,6:07,4:58,6:07,4:56,6:04,4:49,5:59,4:54,6:04,4:49,5:59,4:53,6:02,4:54,6:03,4:56,6:05,4:51,6:01,4:51,6:00,4:54,6:04,4:51,6:00,5:02,6:11,5:01,6:12,5:04,6:12,5:01,6:10,5:00,6:09,5:00,6:09,5:02,6:12,5:03,6:12,5:01,6:10,5:02,6:12
10-03,4:57,6:07,4:56,6:05,4:53,6:05,4:56,6:06,4:58,6:09,4:57,6:08,4:55,6:05,4:58,6:09,4:57,6:08,4:58,6:08,4:56,6:06,4:59,6:10,4:56,6:06,4:48,6:00,4:49,6:01,4:52,6:02,4:51,6:03,4:59,6:10,5:03,6:14,4:59,6:11,5:00,6:11,5:01,6:12,5:02,6:13,5:01,6:11,5:04,6:15,5:00,6:11,5:00,6:11,5:03,6:13,5:01,6:12,5:01,6:13,5:03,6:14,4:59,6:10,4:58,6:09,4:57,6:07,4:55,6:07,4:53,6:05,4:57,6:08,4:55,6:06,4:56,6:07,4:57,6:08,4:58,6:08,4:56,6:07,4:57,6:07,4:55,6:05,4:49,6:00,4:53,6:04,4:48,5:59,4:52,6:02,4:53,6:04,4:55,6:05,4:50,6:02,4:50,6:01,4:53,6:05,4:50,6:00,5:02,6:12,5:01,6:12,5:03,6:13,5:00,6:10,4:59,6:09,5:00,6:10,5:01,6:12,5:03,6:13,5:00,6:10,5:01,6:12
11-03,4:56,6:07,4:55,6:06,4:52,6:05,4:55,6:07,4:57,6:09,4:56,6:08,4:54,6:05,4:57,6:10,4:56,6:08,4:57,6:09,4:55,6:07,4:58,6:10,4:55,6:07,4:47,6:01,4:48,6:01,4:51,6:03,4:50,6:03,4:58,6:10,5:02,6:14,4:58,6:11,4:59,6:11,5:00,6:12,5:01,6:14,5:00,6:12,5:03,6:15,4:59,6:11,4:59,6:11,5:02,6:14,5:00,6:12,5:00,6:13,5:02,6:15,4:58,6:10,4:57,6:09,4:56,6:08,4:54,6:07,4:52,6:05,4:56,6:09,4:54,6:06,4:55,6:08,4:57,6:08,4:57,6:08,4:55,6:08,4:56,6:08,4:54,6:05,4:48,6:00,4:52,6:05,4:48,6:00,4:52,6:03,4:52,6:04,4:54,6:06,4:49,6:02,4:49,6:01,4:52,6:05,4:49,6:01,5:01,6:12,5:00,6:12,5:02,6:13,4:59,6:11,4:58,6:10,4:59,6:10,5:00,6:13,5:02,6:13,4:59,6:11,5:00,6:13
12-03,4:55,6:08,4:54,6:06,4:51,6:06,4:54,6:07,4:56,6:09,4:55,6:09,4:53,6:06,4:56,6:10,4:55,6:08,4:56,6:09,4:54,6:07,4:57,6:11,4:54,6:07,4:46,6:01,4:47,6:01,4:50,6:03,4:49,6:04,4:57,6:11,5:01,6:15,4:57,6:12,4:58,6:12,4:59,6:12,5:00,6:14,4:59,6:12,5:02,6:16,4:58,6:12,4:58,6:12,5:01,6:14,4:59,6:13,4:59,6:14,5:01,6:15,4:57,6:11,4:56,6:10,4:55,6:08,4:53,6:07,4:51,6:06,4:55,6:09,4:53,6:06,4:54,6:08,4:56,6:09,4:56,6:09,4:55,6:08,4:55,6:08,4:53,6:06,4:47,6:01,4:51,6:05,4:47,6:00,4:51,6:03,4:51,6:05,4:53,6:06,4:48,6:03,4:48,6:01,4:51,6:06,4:48,6:01,5:00,6:13,4:59,6:13,5:01,6:14,4:58,6:11,4:57,6:10,4:58,6:11,4:59,6:13,5:01,6:14,4:58,6:11,4:59,6:13
13-03,4:54,6:08,4:53,6:07,4:50,6:06,4:53,6:08,4:55,6:10,4:54,6:09,4:52,6:06,4:55,6:11,4:54,6:09,4:55,6:10,4:53,6:08,4:56,6:11,4:53,6:08,4:45,6:02,4:46,6:02,4:49,6:04,4:48,6:04,4:56,6:11,5:00,6:15,4:56,6:12,4:57,6:12,4:58,6:13,4:59,6:15,4:58,6:12,5:01,6:16,4:57,6:12,4:57,6:12,5:00,6:15,4:58,6:13,4:58,6:14,5:00,6:16,4:56,6:11,4:55,6:10,4:54,6:09,4:52,6:08,4:50,6:06,4:54,6:10,4:52,6:07,4:53,6:09,4:55,6:09,4:55,6:09,4:54,6:08,4:55,6:09,4:52,6:06,4:46,6:01,4:50,6:06,4:46,6:01,4:50,6:04,4:50,6:05,4:52,6:06,4:47,6:03,4:47,6:02,4:51,6:06,4:47,6:01,4:59,6:13,4:58,6:13,5:00,6:14,4:57,6:12,4:56,6:11,4:57,6:11,4:58,6:14,5:00,6:14,4:57,6:12,4:58,6:14
14-03,4:53,6:09,4:52,6:07,4:49,6:06,4:52,6:08,4:54,6:10,4:53,6:10,4:51,6:07,4:54,6:11,4:54,6:09,4:54,6:10,4:52,6:08,4:55,6:12,4:52,6:08,4:44,6:02,4:45,6:02,4:48,6:04,4:47,6:05,4:55,6:12,4:59,6:16,4:55,6:13,4:56,6:13,4:57,6:13,4:58,6:15,4:57,6:13,5:00,6:17,4:56,6:13,4:56,6:13,4:58,6:15,4:57,6:14,4:57,6:15,4:59,6:16,4:55,6:12,4:54,6:11,4:53,6:09,4:51,6:08,4:49,6:07,4:53,6:10,4:51,6:07,4:52,6:09,4:54,6:10,4:54,6:10,4:53,6:09,4:54,6:09,4:51,6:06,4:45,6:01,4:49,6:06,4:45,6:01,4:49,6:04,4:50,6:05,4:51,6:07,4:47,6:03,4:46,6:02,4:50,6:06,4:46,6:02,4:58,6:13,4:57,6:14,4:59,6:15,4:56,6:12,4:55,6:11,4:56,6:11,4:57,6:14,4:59,6:14,4:56,6:12,4:57,6:14
15-03,4:52,6:09,4:51,6:08,4:48,6:07,4:51,6:09,4:53,6:11,4:52,6:10,4:50,6:07,4:53,6:11,4:53,6:10,4:53,6:11,4:51,6:09,4:54,6:12,4:51,6:09,4:43,6:03,4:44,6:03,4:47,6:05,4:46,6:05,4:54,6:12,4:58,6:16,4:54,6:13,4:55,6:13,4:56,6:14,4:57,6:16,4:56,6:13,4:59,6:17,4:54,6:13,4:55,6:13,4:57,6:16,4:56,6:14,4:56,6:15,4:58,6:17,4:54,6:12,4:53,6:11,4:52,6:10,4:50,6:09,4:48,6:07,4:52,6:11,4:50,6:07,4:51,6:09,4:53,6:10,4:53,6:10,4:52,6:09,4:53,6:09,4:50,6:07,4:44,6:02,4:48,6:06,4:44,6:01,4:48,6:04,4:49,6:06,4:50,6:07,4:46,6:04,4:45,6:03,4:49,6:07,4:46,6:02,4:57,6:14,4:56,6:14,4:58,6:15,4:55,6:12,4:54,6:11,4:55,6:12,4:56,6:15,4:58,6:15,4:55,6:12,4:56,6:14
16-03,4:51,6:10,4:50,6:08,4:47,6:07,4:50,6:09,4:52,6:11,4:51,6:11,4:49,6:07,4:52,6:12,4:52,6:10,4:52,6:11,4:50,6:09,4:53,6:12,4:51,6:09,4:42,6:03,4:43,6:03,4:46,6:05,4:45,6:06,4:53,6:13,4:57,6:16,4:53,6:14,4:54,6:14,4:55,6:14,4:56,6:16,4:55,6:14,4:58,6:18,4:53,6:14,4:54,6:14,4:56,6:16,4:55,6:14,4:55,6:16,4:57,6:17,4:53,6:13,4:52,6:12,4:51,6:10,4:49,6:09,4:47,6:08,4:51,6:11,4:49,6:08,4:50,6:10,4:52,6:10,4:52,6:10,4:51,6:10,4:52,6:10,4:49,6:07,4:43,6:02,4:47,6:07,4:43,6:02,4:47,6:05,4:48,6:06,4:49,6:08,4:45,6:04,4:44,6:03,4:48,6:07,4:45,6:03,4:56,6:14,4:55,6:14,4:57,6:15,4:54,6:13,4:53,6:12,4:54,6:12,4:55,6:15,4:57,6:15,4:54,6:13,4:55,6:15
17-03,4:50,6:10,4:49,6:08,4:46,6:08,4:49,6:09,4:52,6:11,4:50,6:11,4:48,6:08,4:51,6:12,4:51,6:10,4:51,6:11,4:49,6:09,4:52,6:13,4:50,6:09,4:41,6:03,4:42,6:04,4:45,6:05,4:44,6:06,4:52,6:13,4:55,6:17,4:52,6:14,4:53,6:14,4:54,6:15,4:55,6:16,4:54,6:14,4:57,6:18,4:52,6:14,4:53,6:14,4:55,6:17,4:54,6:15,4:54,6:16,4:56,6:18,4:52,6:13,4:51,6:12,4:50,6:10,4:48,6:10,4:46,6:08,4:50,6:11,4:48,6:08,4:49,6:10,4:51,6:11,4:51,6:11,4:50,6:10,4:51,6:10,4:48,6:08,4:42,6:02,4:46,6:07,4:42,6:02,4:46,6:05,4:47,6:07,4:48,6:08,4:44,6:04,4:43,6:03,4:47,6:08,4:44,6:03,4:55,6:15,4:54,6:15,4:56,6:16,4:53,6:13,4:52,6:12,4:53,6:13,4:54,6:15,4:56,6:16,4:53,6:13,4:54,6:15
18-03,4:49,6:10,4:48,6:09,4:45,6:08,4:48,6:10,4:51,6:12,4:49,6:12,4:47,6:08,4:50,6:13,4:50,6:11,4:50,6:12,4:48,6:10,4:51,6:13,4:49,6:10,4:40,6:04,4:41,6:04,4:44,6:06,4:43,6:07,4:51,6:13,4:54,6:17,4:51,6:15,4:52,6:14,4:53,6:15,4:54,6:17,4:53,6:15,4:56,6:18,4:51,6:15,4:52,6:15,4:54,6:17,4:53,6:15,4:53,6:17,4:55,6:18,4:51,6:14,4:50,6:13,4:49,6:11,4:47,6:10,4:45,6:09,4:49,6:12,4:47,6:08,4:48,6:10,4:50,6:11,4:50,6:11,4:49,6:10,4:50,6:10,4:47,6:08,4:41,6:03,4:45,6:08,4:41,6:02,4:45,6:06,4:46,6:07,4:47,6:08,4:43,6:05,4:42,6:04,4:46,6:08,4:43,6:03,4:54,6:15,4:53,6:15,4:55,6:16,4:52,6:14,4:52,6:12,4:52,6:13,4:53,6:16,4:55,6:16,4:52,6:14,4:53,6:16
19-03,4:48,6:11,4:47,6:09,4:44,6:09,4:47,6:10,4:50,6:12,4:48,6:12,4:46,6:09,4:49,6:13,4:49,6:11,4:49,6:12,4:47,6:10,4:50,6:14,4:48,6:10,4:39,6:04,4:40,6:05,4:43,6:06,4:42,6:07,4:50,6:14,4:53,6:18,4:50,6:15,4:51,6:15,4:52,6:16,4:53,6:17,4:52,6:15,4:55,6:19,4:50,6:15,4:50,6:15,4:53,6:18,4:52,6:16,4:52,6:17,4:54,6:19,4:50,6:14,4:49,6:13,4:48,6:11,4:46,6:11,4:44,6:09,4:48,6:12,4:46,6:09,4:47,6:11,4:49,6:11,4:50,6:11,4:48,6:11,4:49,6:11,4:46,6:08,4:40,6:03,4:44,6:08,4:40,6:03,4:44,6:06,4:45,6:07,4:46,6:09,4:42,6:05,4:41,6:04,4:45,6:08,4:42,6:04,4:53,6:15,4:52,6:16,4:54,6:17,4:51,6:14,4:51,6:13,4:51,6:13,4:52,6:16,4:54,6:16,4:51,6:14,4:52,6:16
20-03,4:47,6:11,4:46,6:10,4:43,6:09,4:46,6:11,4:49,6:13,4:47,6:12,4:45,6:09,4:48,6:13,4:48,6:12,4:48,6:13,4:46,6:11,4:49,6:14,4:47,6:10,4:38,6:05,4:39,6:05,4:41,6:07,4:41,6:08,4:49,6:14,4:52,6:18,4:49,6:15,4:50,6:15,4:51,6:16,4:51,6:18,4:51,6:16,4:54,6:19,4:49,6:16,4:49,6:16,4:52,6:18,4:51,6:16,4:51,6:18,4:53,6:19,4:49,6:15,4:48,6:14,4:47,6:12,4:45,6:11,4:43,6:09,4:47,6:13,4:45,6:09,4:46,6:11,4:48,6:12,4:49,6:12,4:47,6:11,4:48,6:11,4:45,6:09,4:39,6:04,4:43,6:08,4:39,6:03,4:43,6:06,4:44,6:08,4:45,6:09,4:41,6:06,4:40,6:04,4:44,6:09,4:41,6:04,4:52,6:16,4:51,6:16,4:53,6:17,4:50,6:14,4:50,6:13,4:50,6:14,4:51,6:16,4:53,6:17,4:50,6:14,4:51,6:17
